category,text
entertainment,spector facing more legal action music producer phil spector is facing legal action from the mother of the actress he has been accused of killing.  donna clarkson  whose daughter lana was found dead in mr spector s home in february 2003  is seeking unspecified damages in a civil action. the legal action accuses mr spector of murdering the actress at his la home. mr spector is currently free on $1m (£535 000) bail and is awaiting trial. the 64-year-old has denied the killing  saying her death was accidental.  ms clarkson s legal action  filed in los angeles superior court  also accuses mr spector of negligence and battery  alleging he  grabbed  hit  fought with and restrained  lana clarkson before shooting her to death. her lawyers said in a statement:  the clarkson family had hoped that there would be some resolution with regard to the criminal proceedings before moving forward with the civil action.  however  ms clarkson and her family understand that the fair administration of justice takes time and in light of the numerous changes mr spector has made in his legal defence team over the last two years  ms clarkson was forced to file the action before (the statute of limitations expired) on 3 february 2005.  mr spector  known for his work with the beatles  has claimed that lana clarkson committed suicide. his lawyers  led by bruce cutler  have vowed to prove him innocent at trial.  mr cutler said:  phil did not cause the death of this woman  he s not criminally responsible and he s not civilly responsible either.  but i m not surprised they filed a suit for money  that seems to be de rigueur nowadays.  a los angeles superior court judge is expected to set a trial date later this month for spector  who was indicted on murder charges in september. roderick lindblom  one of ms clarkson s lawyers  said:  our intent is to let the criminal proceedings go forward and not do anything that would interfere with the prosecution.
entertainment,glasgow hosts tsunami benefit gig the top names in scottish music are taking part in a benefit concert in aid of the victims of the asian tsunami.  all 10 000 tickets for saturday s concert  featuring franz ferdinand  belle and sebastian and travis  at glasgow s secc sold out in 36 hours. mull historical society  deacon blue  idlewild  texas  mogwai and teenage fanclub are among the other acts performing at the concert. organisers hope to raise at least £250 000 from the show.  it follows a cardiff gig starring eric clapton  keane and jools holland  which raised more than £1.25m. and it is taking place on the same night as a tsunami benefit show in bristol  which will see massive attack and portishead share a stage for the first time. colin macintyre  of mull historical society  was playing another gig on the same day but said he was determined to make the glasgow benefit. he said:  i think we were all affected by seeing the reports coming from the far east.  we all know somebody who was there  but more than that it was that we had never seen a wave of destruction  a natural disaster  like this in my generation.  i m lucky as an artist to be able to perform at something like this.
sport,dominici backs lacklustre france wing christophe dominici says france can claim another six nations grand slam despite two lacklustre wins so far against scotland and england.  the champions only just saw off the scots in paris  then needed england to self-destruct in last week s 18-17 win.  the english played better than us but lost  whereas we are still in the race for the grand slam   said dominici.  we know our display was not perfect  but we can still win the grand slam  along with ireland and wales.  france   ireland and wales all remain unbeaten after two rounds of this year s rbs six nations  with the two celtic nations playing by far the more impressive rugby.  france take on wales at the stade de france on 26 february and ireland in dublin on 12 march. but although france have yet to click  dominici says that they can still win the hard way as long as scrum-half dimitri yachvili continues in his goalkicking form.  if we have an efficient kicker on whom we can rely on  a solid defence and a team who play for their lives  we can achieve something   dominici added.  i said at the start of the competition that the winners would be clearer from the third matches  and that s exactly what is going to happen.  france coach bernard laporte will announce his starting line-up next tuesday for the match against wales.  wing jimmy marlu is definitely out with the knee injury sustained at twickenham  which is likely to sideline him for the rest of the tournament. inspirational flanker serge betsen is a doubt with a thigh injury  but number eight imanol harinordoquy has shaken off his shoulder injury. in the backs  centre yannick jauzion and winger aurelien rougerie are all back in contention after injury  while brive back julien laharrague has received his first call-up as a replacement for pepito elhorga.
sport,brentford v southampton griffin park  tuesday  1 march  1945 gmt  barry knight (kent)  home to manchester united in the quarter-finals  midfielder andrew frampton and striker deon burton are both slight doubts with hamstring injuries  but should be fit saints are missing their entire first-choice midfield of jamie redknapp  graeme le saux  nigel quashie and david prutton. anders svensson and matt oakley are likely replacements with kevin phillips also scheduled to start  with henri camara rested.  - brentford boss martin allen:  after conceding eight goals in our last three matches  i have to admit i m not very confident.  there s no doubt we re the underdogs and after defending so poorly recently it s not looking good.  southampton have just drawn with the premiership champions and that makes our task harder than it was already.    - southampton boss harry redknapp:  we know they can give us problems.  brentford have done well but we are the premiership side and should have the better players.  staying in the premiership is our priority. we want to win  of course we do. we ll battle but if it comes to a football match i think we ll win.  key match stats   - brentford are the lowest ranked club left in the fa cup. they re on their best run in the competition since reaching the quarter-finals for the fourth time in their history 16 years ago. now they have the carrot of the plum draw in the last eight dangling before them. victory over premiership strugglers southampton  would bring the mighty manchester united to griffin park and a gigantic pay day for the sole league one survivors.   - martin allen s brave side came back from two goals down at st mary s to earn a deserved replay. southampton striker henri camara scored twice from close range to put the saints in command  but isaiah rankin hit back just before half time  and sam sodje headed past a creaky defence on 58 minutes.   - the londoners have conceded six goals in their two subsequent league outings - three each in losing away to hartlepool and drawing at home to sheffield wednesday. but they haven t lost in six league and cup games on home turf - winning three and drawing three since the reverse to torquay on boxing day.   - southampton go into this tie on the back of an eventful premiership match with arsenal on saturday. an angry david prutton pushed referee alan wiley after being shown the red card  but his side still came back to draw 1-1. it was saints  fourth stalemate in succession in all competitions  but didn t lift them out of the relegation zone. the retention of their ever present premier league status must be the number one priority  irrespective of the rewards that success against brentford would bring.   - victory here would set up a repeat of the 1976 final  when saints astounded the football world by defeating tommy docherty s manchester united courtesy of bobby stokes  famous winner. they also knocked out the red devils in 1991 on penalties in the fourth round. but to write another chapter in their fa cup history  the solent side must avoid succumbing to lower division opposition for the first time since rotherham  from the second level  beat them 2-1 in a third round tie at millmoor on 16 january 2002. southampton were last humbled by a club from the third tier six years ago. fulham were then in the second division  when they won a third round replay at craven cottage 1-0 on 13 january 1999.   - to get to within two matches of a second visit to the millennium stadium in three years for the final  harry redknapp must guide his side past a club 36 places inferior on the league ladder  and a manager 19 years his junior  who played under him at west ham. head to head  10th league one  quarter-finals (four times)  18th prem  winners (once)
tech,savvy searchers fail to spot ads internet search engine users are an odd mix of naive and sophisticated  suggests a report into search habits.  the report by the us pew research center reveals that 87% of searchers usually find what they were looking for when using a search engine. it also shows that few can spot the difference between paid-for results and organic ones. the report reveals that 84% of net users say they regularly use google  ask jeeves  msn and yahoo when online.  almost 50% of those questioned said they would trust search engines much less  if they knew information about who paid for results was being hidden. according to figures gathered by the pew researchers the average users spends about 43 minutes per month carrying out 34 separate searches and looks at 1.9 webpages for each hunt. a significant chunk of net users  36%  carry out a search at least weekly and 29% of those asked only look every few weeks. for 44% of those questioned  the information they are looking for is critical to what they are doing and is information they simply have to find.  search engine users also tend to be very loyal and once they have found a site they feel they can trust tend to stick with it. according to pew research 44% of searchers use just a single search engine  48% use two or three and a small number  7%  consult more than three sites. tony macklin  spokesman for ask jeeves  said the results reflected its own research which showed that people use different search engines because the way the sites gather information means they can provide different results for the same query. despite this liking for search sites half of those questioned said they could get the same information via other routes. a small number  17%  said they wouldn t really miss search engines if they did not exist. the remaining 33% said they could not live without search sites. more than two-thirds of those questioned  68%  said they thought that the results they were presented with were a fair and unbiased selection of the information on a topic that can be found on the net. alongside the growing sophistication of net users is a lack of awareness about paid-for results that many search engines provide alongside lists of websites found by indexing the web. of those asked  62% were unaware that someone has paid for some of the results they see when they carry out a search. only 18% of all searchers say they can tell which results are paid for and which are not. said the pew report:  this finding is ironic  since nearly half of all users say they would stop using search engines if they thought engines were not being clear about how they presented paid results.  commenting mr macklin said sponsored results must be clearly marked and though they might help with some queries user testing showed that people need to be able to spot the difference.
business,singapore growth at 8.1% in 2004 singapore s economy grew by 8.1% in 2004  its best performance since 2000  figures from the trade ministry show.  the advance  the second-fastest in asia after china  was led by growth of 13.1% in the key manufacturing sector. however  a slower-than-expected fourth quarter points to more modest growth for the trade-driven economy in 2005 as global technology demand falls back. slowdowns in the us and china could hit electronics exports  while the tsunami disaster may effect the service sector.  economic growth is set to halve in singapore this year to between 3% and 5%. in the fourth quarter  the city state s gross domestic product (gdp) rose at an annual rate of 2.4%. that was up from the third quarter  when it fell 3.0%  but was well below analyst forecasts.  i am surprised at the weak fourth quarter number. the main drag came from electronics   said lian chia liang  economist at jp morgan chase. singapore s economy had contracted over the summer  weighed down by soaring oil prices. the economy s poor performance in the july to september period followed four consecutive quarters of double-digit growth as singapore bounced back strongly from the effects of the deadly sars virus in 2003.
tech,file-swappers ready new network legal attacks on websites that help people swap pirated films have forced the development of a system that could be harder to shut down.  one site behind the success of the bittorrent file-swapping system is producing its own software that avoids the pitfalls of the earlier program. a test version of the new exeem program will be released in late january. but doubts remain about the new networks ability to ensure files being swapped are  quality copies .  in late december movie studios launched a legal campaign against websites that helped people swap pirated movies using the bittorrent network. the legal campaign worked because of the way that bittorrent is organised. that file-sharing system relies on links called  trackers  that point users to others happy to share the file they are looking for. shutting down sites that listed trackers crippled the bittorrent network. one of the sites shut down by the legal campaign was suprnova.org which helped boost the popularity of the bittorrent system by checking that trackers led to the movies or tv programmes they claimed to.  now the man behind suprnova.org  who goes by the nickname sloncek  is preparing to release software for a new file-swapping network dubbed exeem. in an interview with novastream web radio  sloncek said exeem would combine ideas from the bittorrent and kazaa file-sharing systems. like bittorrent  exeem will have trackers that help point people toward the file they want. like kazaa these trackers will be held by everyone. there will be no centrally maintained list. this  said sloncek  should make the system less vulnerable to legal action aimed at stopping people swapping pirated movies and music. the exeem software has been under development for a few months and is currently being tested by a closed group of users. an early public version of the software should be available before february. sloncek said that currently only a windows version of the software was in development. there were no plans for a linux or mac version. he said that costs of writing the software will be paid for by adverts appearing in the finished version of the program. despite suprnova administrator sloncek s involvement with exeem  the basic technology appears to have been developed by a firm called swarm systems that is based on caribbean island saint kitts and nevis.  users of the exeem system will be able to rate files being swapped to help stop the spread of fake files  sloncek told novastream.  dr johan pouwelse  a researcher at the delft university of technology who studies peer-to-peer networks  said exeem was the next evolution in file-sharing systems. but  he said  it would struggle to be as popular as bittorrent and suprnova because early versions were not taking enough care to make sure good copies of files were being shared.  exeem cannot prevent pollution   he said.  the rating system in exeem seems flawed because it is easy to insert both fake files and fake ratings   he said. studies have shown that organisations working for record labels and movie studios have worked to undermine kazaa by putting in fakes. by contrast moderators on suprnova made sure files being shared were high quality.  the moderators are the difference between having a system that works and one that s full of crap like kazaa   he said.  there is a fundamental tension between distribution and integrity   he said. mr pouwelse said that future versions of file-sharing systems are likely to incorporate some kind of distributed reputation system that lets moderators prove who they are to the network and rate which files are worth downloading. when big files were being shared moderation systems were key  said mr pouwelse. he added that the legal attacks on bittorrent had driven people away from sites such as suprnova but many users had simply migrated to other tracker listing sites many of which have seen huge increases in traffic.  it s hard to compete with free   he said. no-one from the motion picture association of america was immediately available for comment on the file-sharing development.
politics,tory candidate quits over remark a conservative election challenger is quitting after being quoted as wanting a  period of creative destruction in the public services .  danny kruger  who also works in the tory research unit  had been due to take on tony blair in sedgefield. he says his remark last week was misrepresented but he will not contest the election for fear of damaging the conservative cause. tory leader michael howard accepted his decision  with regret . mr kruger was quoted in the guardian newspaper saying:  we plan to introduce a period of creative destruction in the public services.   in a statement  the party said the comment had been taken out of context.  he fully supports the party s policies on  and approach to  the public services   said the statement.  however  in order to avoid any further misrepresentation of his views and any damage to the party  he has decided not to stand in the sedgefield constituency at the next election.  mr kruger is continuing in his job at the tory campaign headquarters. labour election coordinator alan milburn claimed mr kruger had exposed the tory agenda for £35bn of cuts to public services. mr milburn said:  he is not some unknown hopeful fighting an unwinnable seat. he is a man who has worked at the heart of conservative policy development...  his claim that the tories were planning  a period of creative destruction in the public services  is not a rogue claim.  it is the authentic and shocking voice of the conservative party. it reveals the true picture of what they would do.
business,yukos unit fetches $9bn at auction a little-known russian company has bought the main production unit of oil giant yukos at auction in moscow.  baikal finance group outbid favourite gazprom  the state-controlled gas monopoly  to buy yuganskneftegas. baikal paid 260.75bn roubles ($9.37bn: £4.8bn) for yugansk - nowhere near the $27bn russia says yukos owes in taxes. yukos reacted immediately by repeating its view that the auction was illegal in international and russian law  and said baikal had bought itself trouble.   the company considers that the victor of today s auction has bought itself a serious $9bn headache   said yukos spokesman alexander shadrin. he said the company would continue to make  every lawful move  to protect tens of thousands of shareholders in yukos from  this forcible and illegitimate removal of their property . meanwhile  tim osborne  head of yukos main shareholders  group menatep  said that yukos may have to declare itself bankrupt  and that legal action would be taken  outside russia  against the auction winners. reports from russia say baikal has paid a deposit of nearly $1.7bn from a sberbank (savings bank) account to the russian federal property fund  for yugansk.  the sale came despite a restraining order issued by a us court dealing with the firm s bankruptcy application for chapter 11 protection. yukos has always insisted the auction was state-sponsored theft but russian authorities argued they were imposing the law  trying to recover billions in unpaid taxes. there were originally four registered bidders  and with its close ties to the kremlin  state-backed gas monopoly gazprom had been seen as favourite. but just two companies turned up for the auction  gazprom and the unknown baikal finance group  named after a large freshwater lake in siberia. and  according to tass news agency  gazprom did not make a single bid  leaving the way open for baikal  which paid above the auction start price of 246.75bn roubles.  mystery firm baikal finance group is officially registered in the central russian region of tver  but many analysts believe it may be linked to gazprom. kaha kiknavelidze  analyst at troika dialog  said:  i think a decision that yugansk should end up with gazprom was taken a long time ago. so the main question was how to structure this transaction.   i would not exclude that the structure of the deal has slightly changed and gazprom now has a partner.  i would also not exclude that baikal will decline to pay in 14 days  that are given by law  and gazprom is then recognised as the winner. this would give gazprom an extra 14 days to accumulate the needed funds.  another surprise was that the winner paid a significant premium above the starting price.  however  gazprom has announced it is not linked to baikal in any way. and paul collison  chief analyst at brunswick ubs  said:  i see no plausible explanation for the theory that baikal was representing competing interests.  yugansk will most likely end up with gazprom but could still end up with the government. there is still potential for surprises.  yugansk is at the heart of yukos - pumping close to a million barrels of oil a day. the unit was seized by the government which claims the oil giant owes more than $27bn in taxes and fines. yukos says those tax demands are exorbitant  and had sought refuge in us courts.  the us bankruptcy court s initial order on thursday - to temporarily block the sale - in response to yukos filing for chapter 11 bankruptcy protection  was upheld in a second ruling on saturday. the protection  if recognised by the russian authorities  would have allowed yukos  current management to retain control of the business and block the sale of any company assets. yukos has said the sale amounts to expropriation - punishment for the political ambitions of its founder  mikhail khodorkovsky. mr khodorkovsky is now in jail  on separate fraud charges. but president vladimir putin has described the affair as a crackdown on corruption - and the bbc s sarah rainsford in moscow says most russians believe the destruction of yukos is now inevitable. hours before the auction lawyers for menatep  a group through which mr khodorkovsky and his associates control yukos  said they would take legal action in other countries. menatep lawyers  who were excluded from observing the auction  said they would retaliate by seeking injunctions in foreign courts to impound russian oil and gas exports.
entertainment,controversial film tops festival a controversial film starring hollywood actor kevin bacon as a convicted paedophile won top honours at the london film festival on thursday.  the woodsman won the satyajit ray award  named after the indian director. the low-budget film  directed by nicole kassell  is about a convicted child molester trying to rebuild his life after 12 years in jail. judges said the film tackled the contentious subject with  great insight and sensitivity . previous films to take the prize include the oscar-winning boys don t cry  which was about the true life story of murdered transsexual brandon teena.  british writer-director amma asante won the uk film talent award this year for her debut feature a way of life. set in south wales  the film is about a teenage single mother who becomes embroiled in a tense stand-off with a turkish neighbour. also on thursday night  the fipresci international critics awards went to aaltra  a belgian film about the handicapped; and the sutherland trophy  which was won by jonathan caouette for his film tarnation. the festival closed with a screening of the film i heart huckabees  starring jude law and dustin hoffman and directed by three kings film-maker david o russell. the festival this year also included the first european screening of the new pixar animation the incredibles  and the british film bullet boy  starring so solid crew rapper asher d.
politics,mcconnell in  drunk  remark row scotland s first minister has told a group of high school pupils that it is okay to get drunk  once in a while .  jack mcconnell was speaking to more than 100 secondary pupils from schools in the highlands about the problems of binge drinking and drink promotions. he has been criticised by the snp for encouraging young people to get drunk. but the scottish executive has insisted mr mcconnell was speaking about adults and his comments were  a recognition that people will get drunk . the first minister s comments came in a question and answer session at glenurquhart high school in inverness  attended by pupils from a number of secondary schools. a highland councillor who was at the event has also defended mr mcconnell. margaret davidson  the independent member for the loch ness west  said the first minister was speaking in a very general way and she was sure he was speaking about adults at the time.  when one pupil asked mr mcconnell how the executive proposed to tackle under-age drinking  began his response with the quip:  i m sure there s no under-age drinking in the highlands.  he went on to speak about the evils of binge drinking and railed against irresponsible drinks promotions. he said:  i hope i m not going to be seen as preaching to anybody here but the really serious problem at the moment is binge drinking and the impact it has on people s health and their ability to control what s happening round about them.  mr mcconnell said he regularly saw reports on the effects of binge drinking sprees which ended in assaults or even rapes  and on the health consequences of binge drinking.  the one thing we are going to do something really serious about is binge drinking and irresponsible drinks promotions that can help lead to that   he said.  far too many pub chains in particular are selling far too much booze far too cheaply and encouraging people to drink it far too quickly.  we are go to clamp down on that and make those promotions illegal in the hope that people can enjoy a drink sensibly over the course of an evening.   he added:  by all means get drunk once in a while - but do not get into a situation where people are being encouraged to get completely incapable just to save some money and drink more quickly.  snp holyrood leader nicola sturgeon said:  this is an incredible gaffe by jack mcconnell.  we all know that under-age drinking is an issue in scotland but it is quite staggering that any politician  particularly the first minister  should encourage young people to get drunk.  the first minister should withdraw these remarks immediately.  but an executive spokeswoman insisted mr mcconnell had made the remark with adults  not youngsters  in mind.  he was talking in the context of adults binge drinking and irresponsible drinks promotions - which are for the over-18s   she said.  it was just a recognition that people will get drunk  but that binge drinking and drinks promotions that encourage it are not acceptable.
politics,labour seeks to quell feud talk labour s leadership put on a show of unity at a campaign poster launch after mps criticised tony blair and gordon brown over reports of their rift.  mr brown was joined at the launch by john prescott and alan milburn  the man controversially put in charge of election planning by mr blair. a private meeting on monday saw normally loyal mps warn that feuding could jeopardise their election hopes. it follows a new book charting disputes between prime minister and chancellor.  the event was the first time mr milburn has shared a platform with the chancellor since taking mr brown s traditional poll planning role. but the pair chatted amicably and mr brown insisted he was happy with his current campaign task. asked about how he would deal with claims that he did not trust the prime minister  mr brown replied:  you can see that our record on the economy is about the british people trusting us to run the economy.   he refused to comment on the new book  saying nobody should be distracted from the business of government. mr brown later told reporters:  of course i trust the prime minister.  downing street cited that comment when reporters  suggested mr brown had pointedly failed to deny claims he had once told mr blair:  there is nothing you could ever say to me now that i could ever believe . labour s new posters say britain is enjoying the lowest inflation since the 1960s  lowest unemployment for 29 years and the lowest mortgage rates for 40 years. they urge voters not to let the tories take things backwards. mr milburn promised a poll campaign  which is upbeat  confident and above all else optimistic about the future of our country .  conservative co-chairman liam fox derided the photo call  saying:  the show of unity was the worst acting i have seen since prisoner cell block h.  labour had broken promises by raising taxes 66 times and brought the slowest economic growth in the english-speaking world  he said.  the prime minister and chancellor faced backbench discontent at monday s meeting of the parliamentary labour party over claims made in journalist robert peston s new book. mr blair told mps and peers:  i know from everyone here  in cabinet and government  nothing is going to get in the way of a unified labour party with a unified position and winning the third term people desperately need.  labour s paul flynn said the pair had had a  scorching  from mps.  on tuesday  deputy prime minister mr prescott told bbc news:  they told us very clearly  it was the troops telling the leaders: get in line.  the new book claims mr prescott hosted a dinner in november 2003 where the prime minister told mr brown he would stand down before the next election because he had lost trust over the iraq war. mr blair then changed his mind in june 2004  after cabinet allies intervened and amid suspicion the chancellor was manoeuvring against him  writes mr peston. mr prescott said there was a dinner but the discussions were confidential.  of course as a waiter for 10 years i have a professional ability here   he joked.
tech,halo 2 sells five million copies microsoft is celebrating bumper sales of its xbox sci-fi shooter  halo 2.  the game has sold more than five million copies worldwide since it went on sale in mid-november  the company said. halo 2 has proved popular online  with gamers notching up a record 28 million hours playing the game on xbox live. according to microsoft  nine out of 10 xbox live members have played the game for an average of 91 minutes per session.  the sequel to the best-selling need for speed: underground has inched ahead of the competition to take the top slot in the official uk games charts. the racing game moved up one spot to first place  nudging gta: san andreas down to second place. halo 2 dropped one place to five  while half-life 2 fell to number nine. last week s new releases  goldeneye: rogue agent and killzone  both failed to make it into the top 10  debuting at number 11 and 12 respectively.  record numbers of warcraft fans are settling in the games online world. on the opening day of the world of warcraft massive multi-player online game more than 200 000 players signed up to play. on the evening of the first day more than 100 000 players were in the world  forcing blizzard to add another 34 servers to cope with the influx. the online game turns the stand alone warcraft games into a persistent world that players can inhabit not just visit  europe s gamers could be waiting until january to hear when they can get their mitts on nintendo s handheld device  nintendo ds  says gamesindustry.biz. david yarnton  nintendo uk general manager  told a press conference to look out for details in the new year. its us launch was on sunday and it goes on sale in japan on 2 december. nintendo has a 95% share of the handheld gaming market and said it expected to sell around five million of the ds by march 2005.
politics,crisis  ahead in social sciences  a national body designed to tackle skills shortages in key subjects should be set up  a committee of mps has said.  there was an  absolute crisis  in the recruitment of statisticians and other social science experts  the commons science and technology committee added.  major problems  are expected over the next 10 years as the social science workforce continues to age  it said. the committee was reporting on the work  strategy and spending plans of the economic social research council.  the council aims to promote and support strategic research for social science postgraduates and provide social scientists to meet the needs of the country. it also liaises with the government and industry over their social science needs. in its report on the council s work the committee said:  we are deeply concerned by the skills shortages afflicting  in particular  the qualitative branches of social sciences. this mirrored previous concerns the committee had expressed on shortages in the fields of maths and chemistry  it said.  it is hard to see how significant progress towards rectifying these shortages can be made through the deployment of economic and social research council s limited resources.  if the government is serious about addressing skills shortages in key subjects it needs to find a more effective mechanism to achieve this.  a national  strategic capabilities fund  to address shortages in key areas should be set up in response  the committee added.
sport,o connell rejects lions rumours ireland and munster lock paul o connell has dismissed media reports linking him to the captaincy of the lions tour to new zealand this summer.  o connell is rumoured to be among the front-runners for the job  but says he is totally focused on sunday s six nations crunch clash with england.  i honestly don t think about these reports   he told bbc sport.  the lions thing is all speculation and newspaper talk  nothing more. i just ignore it and get on with my job.  he added:  the only thing that annoys me after reading some reports is what the opposition locks think.  i can just imagine them saying  i m going to show this guy what s what about second row play . that s the one thing that makes me cringe.  o connell  who made a try-scoring international debut against wales two years ago  is enjoying his meteoric rise into rugby s shop window - but refuses to be drawn on the lions.   i have spoken to sir clive woodward a few times  but not for very long  certainly nothing about summer holidays   he joked. he also said he remains wary of wounded england s abilities coming into sunday s game after two straight defeats  dismissing predictions of a certain irish victory.  it s very dangerous to think that. this england team has so much experience and skill. you do not become a bad team overnight.  they have two world class game-breakers in josh lewsey and jason robinson  while charlie hodgson is just ready to click into place.  he insisted ireland will not make the mistake of being over-confident.  that s not going to happen in our squad. no ireland team lining up to play england will ever fall into that trap   he said.  every time we play england we know what a big task it is. look at what they did to us two years ago. i remember that game all too well  and it was not a good feeling.  i came on as a replacement and we were losing 13-6  and ended up getting hammered 42-6  so i know what can happen when england come to dublin.  they could so easily have been coming to dublin with two wins and staring a grand slam in the face as well.
politics,hospital suspends  no welsh  plan an english hospital has suspended plans to stop treating welsh patients who have waited more than three months.  hereford county hospital had earlier said that from the new year patients waiting longer than this would be taken off waiting lists for hip and knee operations. gps in wales had feared patients could be pushed to the back of another queue. but after talks with powys health board the hospital called off its plan until health chiefs meet early in january. hereford hospital trust caused an outcry when it sent out a letter telling patients that for financial and administrative reasons it planned to turn down some orthopaedic patients. shocked health officials in powys said this meant they would be left with the prospect of patients and doctors having to find new appointments in other hospitals. andy williams  chief executive of powys local health board  had said it was  a totally unacceptable way to behave .  mr williams had said he did not think it was a welsh-english issue  but said hereford hospital was  struggling financially and trying to pass the problem back to powys . he had told bbc radio wales:  i have written straight back to the trust... to insist they withdraw this threat and treat the patients i am paying them to treat.  but after the hospital had agreed to the suspension  mr williams said he was optimistic a compromise could be reached which would ensure welsh patients continued to be treated there. he said the problem had been caused by the difference in waiting time targets between england and wales.  the target is 12 months for welsh patients  but just three months in england. the contract with the powys health board was worth £7m a year for the hospital and accounts for 12% of its patients. in a statement before the suspension of the idea  the welsh assembly government said the situation was  unacceptable .  but powys local health board is committed to ensuring our patients receive the care that is appropriate   said the assembly government.  although we will be challenging hereford s decision we will put in place appropriate care for our patients. they will be contacted by their gps in the next week.  earlier  david rose  chief executive of hereford hospitals nhs trust  had said:  it is with real regret that we have taken this step.  we want to continue providing an excellent and fast service to powys people but can only do this if we are paid to provide the service.  in 2005 our waiting time will fall to a maximum of 6-months and we want powys people to ask to be referred to our modern hospital.  we appeal to powys local health board to allow powys people to choose hereford for their treatment.
sport,leeds v saracens (fri) headingley  friday  25 february  2000 gmt  the tykes have brought in newcastle prop ed kalman and tom mcgee from the borders on loan while fly-half craig mcmullen has joined from narbonne. raphael ibanez is named at hooker for saracens in one of four changes. simon raiwalui and ben russell are also selected in the pack while kevin sorrell comes in at outside centre.  - friday s game at headingley got the go-ahead on friday after passing an early pitch inspection. leeds: balshaw; rees  christophers  bell  doherty; mcmullen  dickens; mcgee  rawlinson  gerber; murphy  palmer (capt)  morgan  parks  popham. replacements: kalman  regan  hyde  rigney  mcmillan  rock  vickerman. saracens: bartholomeusz; castaignede  sorrell  harris  vaikona; jackson  bracken; yates  ibanez  visagie; raiwalui  fullarton; randell  russell  vyvyan (capt). replacements: cairns  lloyd  broster  chesney  johnston  rauluni  little.
tech,virgin radio offers 3g broadcast uk broadcaster virgin radio says it will become the first station in the world to offer radio via 3g mobiles.  the radio station  in partnership with technology firm sydus  will broadcast on selected 2g and high-speed 3g networks. later this year listeners will be able to download software from the virgin website which enables the service. james cridland  head of new media at virgin radio  said:  it places radio at the heart of the 3g revolution.  virgin radio will be the first station made available followed by two digital stations  virgin radio classic rock and virgin radio groove.  mr cridland said:  this application will enable anyone  anywhere to listen to virgin radio simply with the phone in their pocket.  this allows us to tap into a huge new audience and keep radio relevant for a new generation of listeners.  saumil nanavati  president of sydus  said   this radio player is what the 3g network was built for  giving consumers high-quality and high-data products through a handset in their pocket.  virgin says an hour s listening to the station via mobile would involve about 7.2mb of data  which could prove expensive for people using pay as you download gprs or 3g services. some networks  such as orange  charge up to £1 for every one megabyte of data downloaded. virgin says radio via 2g or 3g mobiles is therefore going to appeal to people with unlimited download deals. there are 30 compatible handsets available from major manufacturers including nokia and samsung while virgin said more than 14.9 million consumers across the globe can use the service currently.
business,jobs growth still slow in the us the us created fewer jobs than expected in january  but a fall in jobseekers pushed the unemployment rate to its lowest level in three years.  according to labor department figures  us firms added only 146 000 jobs in january. the gain in non-farm payrolls was below market expectations of 190 000 new jobs. nevertheless it was enough to push down the unemployment rate to 5.2%  its lowest level since september 2001. the job gains mean that president bush can celebrate - albeit by a very fine margin - a net growth in jobs in the us economy in his first term in office. he presided over a net fall in jobs up to last november s presidential election - the first president to do so since herbert hoover. as a result  job creation became a key issue in last year s election. however  when adding december and january s figures  the administration s first term jobs record ended in positive territory.  the labor department also said it had revised down the jobs gains in december 2004  from 157 000 to 133 000.  analysts said the growth in new jobs was not as strong as could be expected given the favourable economic conditions.  it suggests that employment is continuing to expand at a moderate pace   said rick egelton  deputy chief economist at bmo financial group.  we are not getting the boost to employment that we would have got given the low value of the dollar and the still relatively low interest rate environment.   the economy is producing a moderate but not a satisfying amount of job growth   said ken mayland  president of clearview economics.  that means there are a limited number of new opportunities for workers.
